country_iso3,country_name,year,agency,rating,outlook,action,action_date,rating_score,provenance,data_note
TUR,Turkiye,2000,Moody's,B1,Stable,assign,2000-05-06,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2008,Moody's,Caa3,Stable,upgrade,2008-05-13,3,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2017,S&P,A,Stable,downgrade,2017-06-09,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2003,S&P,BB-,Stable,downgrade,2003-12-07,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2000,Fitch,AAA,Stable,assign,2000-06-10,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2000,S&P,BBB-,Stable,assign,2000-10-26,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2000,Fitch,A,Stable,assign,2000-02-12,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2015,S&P,CCC+,Stable,upgrade,2015-10-14,5,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2011,S&P,AAAu,Stable,upgrade,2011-07-20,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2022,Fitch,BBB-,Stable,downgrade,2022-03-23,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2021,Moody's,Aaa,Stable,upgrade,2021-02-18,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2000,Fitch,B+,Stable,assign,2000-03-08,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2000,Moody's,Ba2,Stable,assign,2000-05-07,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2017,Moody's,Ba3,Stable,upgrade,2017-11-19,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2003,Moody's,Baa1,Stable,downgrade,2003-10-16,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2021,Moody's,A2,Stable,upgrade,2021-11-01,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2007,S&P,AA+,Stable,downgrade,2007-05-15,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2005,Fitch,AA+,Stable,downgrade,2005-08-19,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2000,Fitch,AA,Stable,assign,2000-10-16,19,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2000,Fitch,BB,Stable,assign,2000-06-24,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2000,Fitch,AA-u,Stable,assign,2000-08-26,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2009,S&P,B+,Stable,downgrade,2009-04-15,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2004,Fitch,BB,Stable,downgrade,2004-08-02,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2020,Moody's,Baa2,Stable,downgrade,2020-12-15,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2020,S&P,A+,Stable,upgrade,2020-02-26,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2005,Moody's,Ba3,Stable,downgrade,2005-07-13,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2006,Moody's,Aaa,Stable,upgrade,2006-11-26,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2000,S&P,A,Stable,assign,2000-06-14,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2000,Moody's,A2,Stable,assign,2000-05-23,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2008,S&P,CCC+,Stable,downgrade,2008-11-27,5,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2017,Moody's,Aa3,Stable,downgrade,2017-07-16,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2000,S&P,BB-,Developing,assign,2000-03-02,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2004,Moody's,B2,Stable,downgrade,2004-09-25,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2018,Fitch,AA+,Stable,downgrade,2018-04-10,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2016,S&P,AA+,Stable,upgrade,2016-08-27,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2000,Moody's,Caa2,Stable,assign,2000-11-02,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2005,Moody's,Aa1,Stable,upgrade,2005-03-13,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2014,Moody's,Baa1,Stable,upgrade,2014-10-22,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2006,Moody's,Ca,Stable,upgrade,2006-07-21,2,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2019,Moody's,B2,Stable,downgrade,2019-12-14,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
FRA,France,2008,Moody's,A1,Stable,downgrade,2008-03-27,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
USA,United States,2012,Moody's,Aaa,n/a,upgrade,2012-05-19,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2000,S&P,A-,Stable,assign,2000-09-27,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2005,Fitch,AAA,n/a,upgrade,2005-10-11,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2013,S&P,BB+,Stable,upgrade,2013-04-26,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2003,S&P,A-,Stable,downgrade,2003-07-10,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2009,Moody's,Ba1,Stable,upgrade,2009-06-11,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2021,Moody's,B1,Stable,upgrade,2021-02-07,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2000,Moody's,Baa3,Stable,assign,2000-01-23,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2015,Moody's,Ba1,Stable,downgrade,2015-01-13,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2021,Fitch,A-,Stable,downgrade,2021-04-27,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2012,Fitch,BB+,Stable,upgrade,2012-08-20,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2004,S&P,B+,Stable,downgrade,2004-02-14,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2018,Fitch,C/D,n/a,downgrade,2018-06-19,1,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2003,Fitch,BB-,Stable,upgrade,2003-01-16,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2013,Fitch,BB+,Stable,upgrade,2013-06-16,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2000,Fitch,BBB+,Stable,assign,2000-09-10,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2010,Moody's,Baa3,Stable,upgrade,2010-03-19,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2020,S&P,BBB+,Stable,downgrade,2020-05-13,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2005,S&P,BB-u,Stable,downgrade,2005-07-11,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2000,S&P,A,Stable,assign,2000-05-13,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2019,Moody's,C,Negative,downgrade,2019-04-27,1,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2008,S&P,AA+,Stable,downgrade,2008-05-13,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2000,Moody's,B2,Stable,assign,2000-02-07,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2016,S&P,B,Stable,downgrade,2016-04-08,7,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2000,S&P,BBB-,,assign,2000-04-19,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2012,Fitch,B-,Stable,upgrade,,6,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2012,S&P,BBB-,Stable,upgrade,2012-02-12,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2010,Fitch,BBB-,Stable,downgrade,2010-07-23,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2017,S&P,A-,Developing,upgrade,2017-04-17,15,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2003,Fitch,BBB-,Stable,upgrade,2003-10-03,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ESP,Spain,2012,Moody's,Baa1,Stable,downgrade,2012-01-03,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
NGA,Nigeria,2018,Moody's,Ba2,Stable,upgrade,2018-02-04,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
CHN,China,2002,S&P,A+,Stable,upgrade,2002-10-19,17,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2019,S&P,BB-,Stable,upgrade,2019-09-08,9,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2016,Moody's,Baa1,Stable,upgrade,2016-05-09,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2012,Moody's,Aa1,Stable,upgrade,,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2000,Fitch,AA+,Stable,assign,2000-06-23,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2006,Moody's,Aa1,Stable,downgrade,2006-11-19,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
GBR,United Kingdom,2012,S&P,AAA,Stable,upgrade,2012-04-19,21,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
DEU,Germany,2001,Moody's,Aa1,Developing,downgrade,2001-08-09,20,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2016,S&P,AA-,Stable,upgrade,2016-04-12,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
BRA,Brazil,2000,S&P,BB,Stable,assign,2000-08-09,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2000,Fitch,CCCu,,assign,2000-04-19,4,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2002,Moody's,C,Watch-Negative,downgrade,2002-12-19,1,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
RUS,Russian Federation,2022,Fitch,CCC-,n/a,downgrade,2022-06-18,3,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2019,S&P,BBB,Stable,upgrade,2019-02-06,13,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ZAF,South Africa,2002,S&P,BB+,Stable,upgrade,2002-06-13,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
KOR,"Korea, Rep.",2000,Moody's,A2,Stable,assign,,16,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IND,India,2000,Fitch,BBB-,Stable,assign,2000-02-19,12,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
TUR,Turkiye,2000,S&P,B+,Stable,assign,2000-07-17,8,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ARG,Argentina,2021,Moody's,Ca,Stable,upgrade,2021-02-01,2,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
JPN,Japan,2022,S&P,AA-,,downgrade,2022-05-20,18,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
IDN,Indonesia,2012,Moody's,Ba1,Stable,downgrade,2012-03-20,11,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
MEX,Mexico,2022,Fitch,BB,Stable,upgrade,2022-10-09,10,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
ITA,Italy,2000,S&P,BBB+,Stable,assign,2000-03-08,14,synthetic_demo_only,SYNTHETIC DEMO DATA — generated by scripts/make_sample_data.py. NOT real sovereign ratings. Do not use for empirical conclusions.
